date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:44:13	300777/300777	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Dec%202023%2003:44:48%20GMT	https://www.tradingstyle.in/stock-market-course/?utm_source=%7B%7Bsite_source_name%7D%7D&utm_medium=%7B%7Bplacement%7D%7D&utm_campaign=%7B%7Bcampaign.name%7D%7D&utm_content=%7B%7Bad.name%7D%7D	C:/My%20Web%20Sites/26test/www.tradingstyle.in/stock-market-course/indexa765.html	(from )
07:44:13	123/123	---MCZ	200	added ('OK')	text/plain	date:Tue,%2026%20Dec%202023%2003:44:49%20GMT	https://www.tradingstyle.in/robots.txt		(from )
07:44:15	52766/52766	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Dec%202023%2003:44:51%20GMT	https://www.tradingstyle.in/stock-market-course/o,baseURI	C:/My%20Web%20Sites/26test/www.tradingstyle.in/stock-market-course/o,baseURI.0.delayed	(from https://www.tradingstyle.in/stock-market-course/?utm_source=%7B%7Bsite_source_name%7D%7D&utm_medium=%7B%7Bplacement%7D%7D&utm_campaign=%7B%7Bcampaign.name%7D%7D&utm_content=%7B%7Bad.name%7D%7D)
07:44:17	52799/52799	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Dec%202023%2003:44:53%20GMT	https://www.tradingstyle.in/stock-market-course/GET	C:/My%20Web%20Sites/26test/www.tradingstyle.in/stock-market-course/GET.1.delayed	(from https://www.tradingstyle.in/stock-market-course/?utm_source=%7B%7Bsite_source_name%7D%7D&utm_medium=%7B%7Bplacement%7D%7D&utm_campaign=%7B%7Bcampaign.name%7D%7D&utm_content=%7B%7Bad.name%7D%7D)
07:44:17	190583/190583	---M--	200	added ('OK')	image/jpeg	etag:%226586edde-2e8f1%22	https://cdn-klhgb.nitrocdn.com/WZnBefjxIJVJcRJZphvcxZCKiXvqVbil/assets/images/optimized/rev-7429dca/www.tradingstyle.in/wp-content/uploads/2023/01/banner-1.jpg	C:/My%20Web%20Sites/26test/cdn-klhgb.nitrocdn.com/WZnBefjxIJVJcRJZphvcxZCKiXvqVbil/assets/images/optimized/rev-7429dca/www.tradingstyle.in/wp-content/uploads/2023/01/banner-1.jpg	(from https://www.tradingstyle.in/stock-market-course/?utm_source=%7B%7Bsite_source_name%7D%7D&utm_medium=%7B%7Bplacement%7D%7D&utm_campaign=%7B%7Bcampaign.name%7D%7D&utm_content=%7B%7Bad.name%7D%7D)
07:44:18	647/647	---M--	200	added ('OK')	image/png	etag:%226586ede9-31b%22	https://cdn-klhgb.nitrocdn.com/WZnBefjxIJVJcRJZphvcxZCKiXvqVbil/assets/images/optimized/rev-7429dca/www.tradingstyle.in/wp-content/uploads/2023/01/cropped-trading-style-favicon-32x32.png	C:/My%20Web%20Sites/26test/cdn-klhgb.nitrocdn.com/WZnBefjxIJVJcRJZphvcxZCKiXvqVbil/assets/images/optimized/rev-7429dca/www.tradingstyle.in/wp-content/uploads/2023/01/cropped-trading-style-favicon-32x32.png	(from https://www.tradingstyle.in/stock-market-course/?utm_source=%7B%7Bsite_source_name%7D%7D&utm_medium=%7B%7Bplacement%7D%7D&utm_campaign=%7B%7Bcampaign.name%7D%7D&utm_content=%7B%7Bad.name%7D%7D)
07:44:18	7917/7917	---M--	200	added ('OK')	image/png	etag:%226586ede9-1f83%22	https://cdn-klhgb.nitrocdn.com/WZnBefjxIJVJcRJZphvcxZCKiXvqVbil/assets/images/optimized/rev-7429dca/www.tradingstyle.in/wp-content/uploads/2023/01/cropped-trading-style-favicon-192x192.png	C:/My%20Web%20Sites/26test/cdn-klhgb.nitrocdn.com/WZnBefjxIJVJcRJZphvcxZCKiXvqVbil/assets/images/optimized/rev-7429dca/www.tradingstyle.in/wp-content/uploads/2023/01/cropped-trading-style-favicon-192x192.png	(from https://www.tradingstyle.in/stock-market-course/?utm_source=%7B%7Bsite_source_name%7D%7D&utm_medium=%7B%7Bplacement%7D%7D&utm_campaign=%7B%7Bcampaign.name%7D%7D&utm_content=%7B%7Bad.name%7D%7D)
07:44:19	300777/300777	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Dec%202023%2003:44:54%20GMT	https://www.tradingstyle.in/stock-market-course/	C:/My%20Web%20Sites/26test/www.tradingstyle.in/stock-market-course/index.html	(from https://www.tradingstyle.in/stock-market-course/?utm_source=%7B%7Bsite_source_name%7D%7D&utm_medium=%7B%7Bplacement%7D%7D&utm_campaign=%7B%7Bcampaign.name%7D%7D&utm_content=%7B%7Bad.name%7D%7D)
07:44:19	7455/7455	---M--	200	added ('OK')	image/png	etag:%226586edea-1db5%22	https://cdn-klhgb.nitrocdn.com/WZnBefjxIJVJcRJZphvcxZCKiXvqVbil/assets/images/optimized/rev-7429dca/www.tradingstyle.in/wp-content/uploads/2023/01/cropped-trading-style-favicon-180x180.png	C:/My%20Web%20Sites/26test/cdn-klhgb.nitrocdn.com/WZnBefjxIJVJcRJZphvcxZCKiXvqVbil/assets/images/optimized/rev-7429dca/www.tradingstyle.in/wp-content/uploads/2023/01/cropped-trading-style-favicon-180x180.png	(from https://www.tradingstyle.in/stock-market-course/?utm_source=%7B%7Bsite_source_name%7D%7D&utm_medium=%7B%7Bplacement%7D%7D&utm_campaign=%7B%7Bcampaign.name%7D%7D&utm_content=%7B%7Bad.name%7D%7D)
07:44:19	52868/52868	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Dec%202023%2003:44:55%20GMT	https://www.tradingstyle.in/stock-market-course/Edge/	C:/My%20Web%20Sites/26test/www.tradingstyle.in/stock-market-course/Edge/index.html	(from https://www.tradingstyle.in/stock-market-course/?utm_source=%7B%7Bsite_source_name%7D%7D&utm_medium=%7B%7Bplacement%7D%7D&utm_campaign=%7B%7Bcampaign.name%7D%7D&utm_content=%7B%7Bad.name%7D%7D)
